Unnamed: 0,route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,trip_id.1,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,arrival_time_new,day_of_the_week,day,arrival_time_new_1
0.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:53:37,17:53:37,8250DB003142,24, Heuston Station,0,0,7863.69,0 days 17:53:37,Sunday,,
1.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:55:05,17:55:05,8250DB003143,25, Heuston Station,0,0,8478.67,0 days 17:55:05,Sunday,,
2.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:56:01,17:56:01,8250DB003144,26, Heuston Station,0,0,8930.37,0 days 17:56:01,Sunday,,
3.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:56:38,17:56:38,8250DB003145,27, Heuston Station,0,0,9247.7,0 days 17:56:38,Sunday,,
4.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:57:19,17:57:19,8250DB003146,28, Heuston Station,0,0,9649.17,0 days 17:57:19,Sunday,,
5.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:58:19,17:58:19,8250DB003147,29, Heuston Station,0,0,10198.15,0 days 17:58:19,Sunday,,
6.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,17:59:00,17:59:00,8250DB003148,30, Heuston Station,0,0,10590.0,0 days 17:59:00,Sunday,,
7.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:00:10,18:00:10,8250DB005127,31, Heuston Station,0,0,11055.81,0 days 18:00:10,Sunday,,
8.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:01:30,18:01:30,8250DB005128,32, Heuston Station,0,0,11680.16,0 days 18:01:30,Sunday,,
9.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:03:24,18:03:24,8250DB002996,33, Heuston Station,0,0,12553.35,0 days 18:03:24,Sunday,,
10.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:04:11,18:04:11,8250DB003258,34, Heuston Station,0,0,12914.75,0 days 18:04:11,Sunday,,
11.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:05:13,18:05:13,8250DB002060,35, Heuston Station,0,0,13178.87,0 days 18:05:13,Sunday,,
12.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:05:57,18:05:57,8250DB002061,36, Heuston Station,0,0,13573.96,0 days 18:05:57,Sunday,,
13.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:07:04,18:07:04,8250DB002062,37, Heuston Station,0,0,14151.39,0 days 18:07:04,Sunday,,
14.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:07:54,18:07:54,8250DB002063,38, Heuston Station,0,0,14402.42,0 days 18:07:54,Sunday,,
15.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:09:11,18:09:11,8250DB002064,39, Heuston Station,0,0,14780.71,0 days 18:09:11,Sunday,,
16.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:09:49,18:09:49,8250DB002065,40, Heuston Station,0,0,15019.62,0 days 18:09:49,Sunday,,
17.0,60-145-b12-1,y1003,8563.y1003.60-145-b12-1.330.I,60-145-b12-1.330.I,Kilmacanogue (Esso Garage) - Outside Heuston Train Station,1,8563.y1003.60-145-b12-1.330.I,18:11:58,18:11:58,8250DB004727,41, Heuston Station,0,0,15759.35,0 days 18:11:58,Sunday,,
