,trip_id,stop_sequence,arrival_time_new,day_of_the_week,time_category,time_diff,next_stop_sequence,dist_to_next_stop
0,15351.y1002.60-145-b12-1.330.I,1,0 days 10:00:00,Saturday,Morning,138.0,2.0,449.0
1,15351.y1002.60-145-b12-1.330.I,2,0 days 10:02:18,Saturday,Morning,34.0,3.0,249.0
2,15351.y1002.60-145-b12-1.330.I,3,0 days 10:02:52,Saturday,Morning,67.0,4.0,491.0
3,15351.y1002.60-145-b12-1.330.I,4,0 days 10:03:59,Saturday,Morning,58.0,5.0,421.0
4,15351.y1002.60-145-b12-1.330.I,5,0 days 10:04:57,Saturday,Morning,57.0,6.0,484.0
5,15351.y1002.60-145-b12-1.330.I,6,0 days 10:05:54,Saturday,Morning,60.0,7.0,321.0
6,15351.y1002.60-145-b12-1.330.I,7,0 days 10:06:54,Saturday,Morning,72.0,8.0,373.0
7,15351.y1002.60-145-b12-1.330.I,8,0 days 10:08:06,Saturday,Morning,91.0,9.0,409.0
8,15351.y1002.60-145-b12-1.330.I,9,0 days 10:09:37,Saturday,Morning,46.0,10.0,202.0
9,15351.y1002.60-145-b12-1.330.I,10,0 days 10:10:23,Saturday,Morning,34.0,11.0,150.0
10,15351.y1002.60-145-b12-1.330.I,11,0 days 10:10:57,Saturday,Morning,45.0,12.0,204.0
11,15351.y1002.60-145-b12-1.330.I,12,0 days 10:11:42,Saturday,Morning,67.0,13.0,292.0
12,15351.y1002.60-145-b12-1.330.I,13,0 days 10:12:49,Saturday,Morning,45.0,14.0,250.0
13,15351.y1002.60-145-b12-1.330.I,14,0 days 10:13:34,Saturday,Morning,91.0,15.0,373.0
14,15351.y1002.60-145-b12-1.330.I,15,0 days 10:15:05,Saturday,Morning,52.0,16.0,572.0
15,15351.y1002.60-145-b12-1.330.I,16,0 days 10:15:57,Saturday,Morning,37.0,17.0,426.0
16,15351.y1002.60-145-b12-1.330.I,17,0 days 10:16:34,Saturday,Morning,16.0,18.0,236.0
17,15351.y1002.60-145-b12-1.330.I,18,0 days 10:16:50,Saturday,Morning,15.0,19.0,220.0
18,15351.y1002.60-145-b12-1.330.I,19,0 days 10:17:05,Saturday,Morning,11.0,20.0,159.0
19,15351.y1002.60-145-b12-1.330.I,20,0 days 10:17:16,Saturday,Morning,50.0,21.0,335.0
20,15351.y1002.60-145-b12-1.330.I,21,0 days 10:18:06,Saturday,Morning,39.0,22.0,262.0
21,15351.y1002.60-145-b12-1.330.I,22,0 days 10:18:45,Saturday,Morning,76.0,23.0,564.0
22,15351.y1002.60-145-b12-1.330.I,23,0 days 10:20:01,Saturday,Morning,48.0,24.0,432.0
23,15351.y1002.60-145-b12-1.330.I,24,0 days 10:20:49,Saturday,Morning,69.0,25.0,615.0
24,15351.y1002.60-145-b12-1.330.I,25,0 days 10:21:58,Saturday,Morning,54.0,26.0,452.0
25,15351.y1002.60-145-b12-1.330.I,26,0 days 10:22:52,Saturday,Morning,36.0,27.0,318.0
26,15351.y1002.60-145-b12-1.330.I,27,0 days 10:23:28,Saturday,Morning,44.0,28.0,402.0
27,15351.y1002.60-145-b12-1.330.I,28,0 days 10:24:12,Saturday,Morning,53.0,29.0,549.0
28,15351.y1002.60-145-b12-1.330.I,29,0 days 10:25:05,Saturday,Morning,37.0,30.0,392.0
