Timestamp,Speed
1,0
2,1.50245
3,2.94315
4,4.48938
5,4.81754
6,4.30141
7,4.57862
8,4.92171
9,3.71511
10,4.12282
11,4.39075
12,3.85538
13,4.98784
14,4.11884
15,4.41874
16,4.05717
17,2.77466
18,0.714537
19,0.0515017
20,0.0190165
21,0.0152486
22,0.00189545
23,0.000632259
24,0.00056378
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2.46962
33,4.63001
34,6.598
35,6.23346
36,7.55709
37,8.93125
38,9.47204
39,9.53295
40,9.82777
41,9.60404
42,6.70292
43,2.71536
44,4.68105
45,6.20611
46,8.73221
47,10.3199
48,12.8291
49,13.4079
50,12.8771
51,12.9603
52,13.2797
53,13.2551
