Timestamp,Speed
1,0
2,1.67025
3,3.15492
4,4.44925
5,4.5003
6,3.8407
7,4.64555
8,3.97076
9,4.37603
10,3.79672
11,4.56138
12,4.97372
13,3.7557
14,3.86898
15,4.38431
16,4.40008
17,4.11746
18,4.1681
19,4.30141
20,4.3216
21,4.38432
22,3.9935
23,4.407
24,4.82422
25,4.57862
26,4.20428
27,4.49756
28,4.11363
29,4.20302
30,4.09308
31,3.73925
32,4.12817
33,4.5344
34,4.52718
35,4.95005
36,4.17544
37,4.86734
38,4.17442
39,4.15096
40,4.46132
41,4.68225
42,4.56059
43,4.14677
44,3.98815
45,3.76556
46,3.93271
47,4.1903
48,4.87507
49,3.85835
50,3.73021
51,4.41349
52,4.63235
53,4.53272
54,4.84565
55,3.85538
56,4.91661
57,4.26525
58,4.65499
59,3.80826
60,4.25127
