Timestamp,Speed
1,0
2,2.04925
3,3.59343
4,3.91759
5,4.81364
6,4.49756
7,4.52718
8,4.58764
9,4.53272
10,4.15867
11,3.84098
12,4.21169
13,4.52217
14,4.81804
15,4.39751
16,4.75795
17,3.83433
18,4.05043
19,4.87962
20,4.21158
21,4.52084
22,4.05673
23,4.11173
24,4.942
25,4.83176
26,4.23172
27,4.42296
28,4.9578
29,4.17589
30,4.84262
31,3.90905
32,4.24611
33,4.54698
34,4.47227
35,4.10938
36,3.80095
37,4.90057
38,4.13697
39,3.70094
40,3.75364
41,3.71959
42,4.43871
43,4.11325
44,4.91401
45,3.86757
46,3.73805
47,4.67801
48,4.6177
49,4.67948
50,1.24421
51,0.894005
52,0.179077
53,0.0407761
54,0.0122082
55,0.00577905
56,0.00228099
57,1.95572
58,4.49992
59,4.59591
60,3.84372
61,4.42264
62,3.91582
63,4.52388
64,4.93917
65,4.83269
66,4.41145
67,4.41188
68,4.1534
69,4.7493
70,3.73508
71,3.71936
72,4.92672
